customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churned,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
NEW-0051,2024-04-03,Organic,2024-05-01,Basic,Monthly,,,8.99,408,12,0,Varun Nair,India,West Bengal,Male,2002-11-09,2025-03-04,N,80.0,1.0
NEW-0052,2019-05-20,Organic,2019-06-19,Standard,Monthly,,,14.99,1357,6,0,Pooja Mehta,India,Haryana,Female,1996-06-28,,,,
NEW-0053,2024-12-12,Organic,2025-12-12,Basic,Annual,,,7.99,475,20,0,Rohan Agarwal,India,Rajasthan,Female,2002-12-25,,,,
NEW-0054,2021-09-27,Refferal,2021-10-27,Standard,Monthly,,,13.99,1272,22,0,Sakshi Kumar,India,Gujarat,Female,2006-03-27,,,,
NEW-0055,2026-01-28,Paid,2026-02-28,Premium,Monthly,2026-07-31,Too expensive,28.99,1106,81,1,Aryan Kapoor,India,Rajasthan,Female,1973-10-17,,,,
NEW-0056,2021-04-18,Organic,2021-05-19,Basic,Monthly,2021-11-01,Too expensive,7.99,438,67,1,Tanvi Saini,India,West Bengal,Male,1978-07-11,,,,
NEW-0057,2021-09-19,Organic,2021-10-19,Basic,Monthly,,,6.99,515,13,0,Akshay Joshi,India,Maharashtra,Male,1992-03-20,,,,
NEW-0058,2022-02-16,Organic,2022-03-16,Standard,Monthly,,,16.99,1038,32,0,Aman Saini,India,Tamil Nadu,Male,1977-09-12,,,,
NEW-0059,2020-04-17,Organic,2020-05-17,Standard,Monthly,,,13.99,1239,18,0,Akshay Singh,India,Tamil Nadu,Male,2006-11-28,,,,
NEW-0060,2021-09-01,Paid,2021-09-29,Standard,Monthly,,,16.99,1332,20,0,Tanvi Rana,India,Punjab,Female,1992-12-24,,,,
NEW-0061,2024-02-20,Paid,2024-03-22,Premium,Monthly,,,24.99,1756,38,0,Shivam Shah,India,Tamil Nadu,Male,1983-10-07,,,,
NEW-0062,2021-10-29,Organic,2021-11-29,Basic,Monthly,2022-02-13,Poor service,8.99,350,74,1,Aryan Nair,India,West Bengal,Female,1975-01-28,,,,
NEW-0063,2022-01-26,Organic,2022-02-26,Standard,Monthly,2022-05-14,Too expensive,16.99,883,80,1,Simran Sharma,India,Gujarat,Male,1974-04-26,,,,
NEW-0064,2022-04-21,Organic,2022-05-22,Standard,Monthly,,,14.99,1185,6,0,Nisha Rana,India,Rajasthan,Female,2006-09-12,,,,
NEW-0065,2022-05-25,Paid,2022-06-24,Standard,Monthly,,,15.99,1225,27,0,Aryan Gupta,India,Karnataka,Female,1975-10-06,,,,
NEW-0066,2020-05-27,Paid,2022-05-27,Basic,Annual,2022-10-02,Not enough content,8.99,535,67,1,Pooja Jain,India,Maharashtra,Female,1971-09-06,,,,
NEW-0067,2024-09-23,Refferal,2025-09-24,Basic,Annual,,,7.99,506,13,0,Tushar Verma,India,Tamil Nadu,Female,1995-03-15,,,,
NEW-0068,2021-09-26,Refferal,2023-09-26,Standard,Annual,,,15.99,1629,47,0,Rohan Jain,India,Delhi,Female,1993-07-31,,,,
NEW-0069,2024-10-02,Organic,2025-10-02,Basic,Annual,2026-02-19,Too expensive,7.99,288,78,1,Aditi Gupta,India,Karnataka,Male,1977-11-04,,,,
NEW-0070,2021-08-20,Organic,2022-08-20,Standard,Annual,,,15.99,1384,14,0,Divya Patel,India,Haryana,Female,1996-12-24,,,,
NEW-0071,2025-03-21,Organic,2027-03-21,Standard,Annual,,,15.99,957,39,0,Akshay Agarwal,India,Maharashtra,Female,1998-02-21,,,,
NEW-0072,2020-06-20,Refferal,2020-07-21,Premium,Monthly,2020-11-17,Switched to competitor,22.99,2056,85,1,Aman Chauhan,India,Karnataka,Male,1989-11-21,,,,
NEW-0073,2019-10-09,Organic,2019-11-08,Premium,Monthly,,,24.99,2433,16,0,Pooja Rana,India,Delhi,Female,1991-05-02,,,,
NEW-0074,2023-08-09,Paid,2023-09-08,Standard,Monthly,2023-12-27,Poor service,15.99,786,87,1,Aryan Sharma,India,Maharashtra,Female,1981-07-31,,,,
NEW-0075,2022-04-03,Paid,2022-05-01,Basic,Monthly,2022-09-30,Switched to competitor,7.99,333,68,1,Manish Jain,India,Tamil Nadu,Male,1993-08-31,,,,
NEW-0076,2022-07-27,Paid,2022-08-26,Basic,Monthly,,,7.99,503,31,0,Rohan Bansal,India,Rajasthan,Female,1974-12-13,,,,
NEW-0077,2024-01-30,Paid,2025-01-30,Premium,Annual,,,28.99,1984,23,0,Shreya Saini,India,Tamil Nadu,Female,2000-04-22,,,,
NEW-0078,2022-04-19,Paid,2022-05-19,Basic,Monthly,,,6.99,492,44,0,Naina Patel,India,Uttar Pradesh,Female,2005-02-03,,,,
NEW-0079,2025-12-09,Paid,2026-01-09,Basic,Monthly,,,6.99,334,34,0,Neha Bansal,India,Rajasthan,Male,1979-04-03,,,,
NEW-0080,2019-10-01,Paid,2019-11-01,Premium,Monthly,2020-02-09,Too expensive,22.99,1824,80,1,Rohan Das,India,Tamil Nadu,Male,1982-12-20,,,,
NEW-0081,2021-12-31,Organic,2022-01-31,Basic,Monthly,2022-02-13,Too expensive,8.99,416,80,1,Sakshi Sharma,India,Rajasthan,Female,1986-08-23,,,,
NEW-0082,2021-02-24,Organic,2021-03-27,Standard,Monthly,,,16.99,1304,28,0,Nisha Rana,India,Gujarat,Male,2005-03-10,,,,
NEW-0083,2019-11-02,Organic,2019-12-03,Standard,Monthly,2020-05-23,Too expensive,15.99,1004,59,1,Divya Agarwal,India,Maharashtra,Female,1971-05-24,,,,
NEW-0084,2024-03-15,Paid,2024-04-12,Basic,Monthly,2024-05-21,Too expensive,6.99,261,65,1,Bhavna Agarwal,India,Rajasthan,Male,1983-08-15,,,,
NEW-0085,2026-03-05,Organic,2028-03-04,Standard,Annual,,,15.99,809,22,0,Ankit Patel,India,Rajasthan,Female,1986-04-16,2026-06-16,N,80.0,1.0
NEW-0086,2020-02-28,Refferal,2021-02-27,Basic,Annual,,,7.99,713,9,0,Rahul Das,India,Delhi,Female,1976-10-23,,,,
NEW-0087,2019-07-13,Refferal,2020-07-13,Basic,Annual,,,7.99,715,34,0,Sourabh Mishra,India,Haryana,Female,1984-03-08,,,,
NEW-0088,2024-08-05,Organic,2026-08-05,Basic,Annual,2026-07-31,Too expensive,7.99,323,75,1,Bhavna Das,India,Karnataka,Male,1971-05-08,,,,
NEW-0089,2025-01-27,Organic,2025-02-26,Standard,Monthly,,,15.99,846,34,0,Sourabh Arora,India,Gujarat,Female,2000-12-13,,,,
NEW-0090,2024-04-21,Refferal,2024-05-22,Standard,Monthly,,,13.99,1009,21,0,Varun Yadav,India,Delhi,Female,1990-11-22,,,,
NEW-0091,2019-02-06,Organic,2019-03-09,Standard,Monthly,,,13.99,1590,11,0,Naina Gupta,India,Rajasthan,Male,1980-11-24,,,,
NEW-0092,2023-10-31,Organic,2023-11-30,Standard,Monthly,,,16.99,988,27,0,Rahul Chauhan,India,Maharashtra,Female,2006-01-01,,,,
NEW-0093,2024-06-28,Paid,2026-06-28,Standard,Annual,,,15.99,1064,28,0,Bhavna Yadav,India,Punjab,Female,2008-02-06,,,,
NEW-0094,2021-07-12,Paid,2021-08-11,Basic,Monthly,,,8.99,578,14,0,Yash Agarwal,India,West Bengal,Male,1978-09-23,,,,
NEW-0095,2019-10-03,Organic,2021-10-02,Premium,Annual,,,28.99,3197,28,0,Aditya Malhotra,India,Rajasthan,Male,1998-04-19,,,,
NEW-0096,2025-06-21,Organic,2025-07-21,Premium,Monthly,2025-12-26,Not enough content,24.99,867,82,1,Aman Gupta,India,Rajasthan,Male,2001-08-28,2026-03-09,Y,40.0,2.0
NEW-0097,2023-02-25,Organic,2023-03-28,Basic,Monthly,,,6.99,465,36,0,Varun Yadav,India,West Bengal,Male,1981-12-05,,,,
NEW-0098,2019-03-14,Organic,2019-04-11,Basic,Monthly,2019-06-01,Not enough content,8.99,453,73,1,Akshay Verma,India,Delhi,Male,1998-02-04,,,,
NEW-0099,2024-05-09,Refferal,2024-06-08,Basic,Monthly,,,6.99,443,21,0,Raj Mehta,India,Karnataka,Male,1986-10-01,,,,
NEW-0100,2024-09-26,Organic,2024-10-24,Basic,Monthly,2025-01-11,Too expensive,6.99,240,64,1,Nikhil Yadav,India,Haryana,Female,1987-12-23,2025-08-23,Y,30.0,1.0
NEW-0101,2019-07-03,Paid,2019-08-02,Premium,Monthly,,,24.99,2664,25,0,Varun Saini,India,Haryana,Female,1992-02-04,,,,
NEW-0102,2025-12-10,Organic,2026-01-10,Standard,Monthly,2026-05-21,Too expensive,14.99,587,61,1,Riya Yadav,India,Maharashtra,Female,1991-04-15,2026-02-11,Y,80.0,1.0
NEW-0103,2025-08-31,Paid,2025-09-30,Premium,Monthly,,,26.99,1590,34,0,Raj Shah,India,Haryana,Female,1975-07-09,,,,
NEW-0104,2021-07-30,Organic,2021-08-29,Premium,Monthly,,,22.99,2292,19,0,Sonal Patel,India,Gujarat,Female,1984-02-02,,,,
NEW-0105,2020-05-01,Organic,2021-05-02,Basic,Annual,,,6.99,704,35,0,Vivek Kapoor,India,Maharashtra,Female,1996-02-05,,,,
NEW-0106,2020-12-13,Paid,2021-01-13,Basic,Monthly,,,6.99,592,34,0,Tushar Mishra,India,Punjab,Male,1993-03-10,,,,
NEW-0107,2019-04-14,Refferal,2019-05-14,Basic,Monthly,2019-05-30,Poor service,6.99,461,89,1,Arjun Das,India,Maharashtra,Male,2003-07-06,,,,
NEW-0108,2020-03-07,Paid,2020-04-07,Basic,Monthly,2020-09-15,Too expensive,6.99,472,77,1,Rohit Kapoor,India,Tamil Nadu,Female,1970-06-29,,,,
NEW-0109,2024-03-31,Refferal,2026-03-31,Standard,Annual,,,13.99,1166,23,0,Neha Arora,India,Uttar Pradesh,Female,2002-09-20,,,,
NEW-0110,2019-06-21,Organic,2019-07-19,Standard,Monthly,,,14.99,1348,19,0,Ananya Arora,India,Punjab,Male,1977-11-04,,,,
NEW-0111,2022-07-28,Organic,2022-08-25,Basic,Monthly,,,6.99,455,37,0,Nikhil Arora,India,Punjab,Female,1979-03-07,,,,
NEW-0112,2019-10-18,Organic,2021-10-17,Basic,Annual,,,6.99,710,27,0,Tushar Chauhan,India,Haryana,Male,2002-10-09,,,,
NEW-0113,2025-03-28,Organic,2025-04-25,Basic,Monthly,2025-07-18,Too expensive,6.99,217,74,1,Varun Malhotra,India,Karnataka,Male,1998-04-04,,,,
NEW-0114,2019-01-08,Refferal,2019-02-05,Basic,Monthly,,,6.99,598,44,0,Akshay Verma,India,Karnataka,Male,1976-06-28,,,,
NEW-0115,2020-06-29,Refferal,2020-07-30,Basic,Monthly,,,8.99,604,39,0,Ansh Nair,India,Rajasthan,Male,2006-03-26,,,,
NEW-0116,2024-11-08,Refferal,2024-12-08,Basic,Monthly,,,6.99,402,12,0,Harsh Chauhan,India,Maharashtra,Male,2002-04-18,,,,
NEW-0117,2022-03-18,Refferal,2022-04-17,Standard,Monthly,,,15.99,1199,37,0,Vivek Joshi,India,Gujarat,Female,1987-10-01,,,,
NEW-0118,2026-01-16,Refferal,2026-02-15,Standard,Monthly,,,15.99,771,36,0,Karan Singh,India,Gujarat,Female,1982-01-24,,,,
NEW-0119,2026-06-03,Paid,2026-07-01,Basic,Monthly,,,7.99,288,21,0,Pooja Patel,India,Punjab,Male,1982-05-18,,,,
NEW-0120,2021-04-12,Organic,2021-05-12,Basic,Monthly,2021-09-29,Poor service,6.99,378,71,1,Nikhil Chauhan,India,Gujarat,Male,1995-08-10,2024-10-25,Y,50.0,1.0
NEW-0121,2021-01-01,Organic,2021-01-31,Standard,Monthly,2021-06-19,Too expensive,15.99,1006,78,1,Nikhil Bansal,India,Rajasthan,Female,1987-12-03,,,,
NEW-0122,2023-08-03,Organic,2024-08-03,Standard,Annual,,,13.99,1270,34,0,Ansh Mishra,India,Punjab,Male,1991-06-01,,,,
NEW-0123,2025-06-07,Organic,2025-07-08,Standard,Monthly,,,14.99,873,33,0,Ayush Verma,India,Karnataka,Female,1977-09-01,,,,
NEW-0124,2023-07-28,Paid,2023-08-25,Standard,Monthly,2024-01-03,Poor service,13.99,620,90,1,Tanya Nair,India,Gujarat,Male,1975-01-16,,,,
NEW-0125,2021-02-02,Organic,2021-03-02,Basic,Monthly,,,6.99,583,43,0,Aarav Rana,India,Delhi,Male,1998-03-11,,,,
NEW-0126,2023-04-26,Refferal,2023-05-24,Standard,Monthly,,,14.99,1061,31,0,Tarun Singh,India,Rajasthan,Female,1979-10-01,,,,
NEW-0127,2021-06-03,Organic,2021-07-03,Basic,Monthly,2021-12-15,Poor service,7.99,440,69,1,Ankit Mishra,India,Gujarat,Female,1990-01-30,2026-04-18,Y,40.0,2.0
NEW-0128,2023-09-03,Organic,2023-10-03,Basic,Monthly,2023-10-26,Too expensive,6.99,270,78,1,Sanya Arora,India,Delhi,Male,1979-09-17,,,,
NEW-0129,2020-06-04,Refferal,2020-07-05,Basic,Monthly,,,6.99,548,36,0,Vikas Gupta,India,Maharashtra,Female,2003-05-07,,,,
NEW-0130,2023-07-14,Organic,2023-08-13,Standard,Monthly,,,15.99,930,32,0,Raj Bansal,India,Maharashtra,Female,1987-04-14,,,,
NEW-0131,2022-03-21,Refferal,2022-04-21,Basic,Monthly,,,6.99,496,35,0,Vivek Verma,India,Punjab,Female,1984-02-10,2024-04-12,N,100.0,1.0
NEW-0132,2019-01-04,Paid,2020-01-04,Basic,Annual,,,6.99,711,30,0,Tushar Verma,India,Delhi,Female,1998-04-29,,,,
NEW-0133,2019-10-21,Organic,2019-11-18,Standard,Monthly,2019-11-22,Too expensive,16.99,858,68,1,Vivek Chauhan,India,Punjab,Male,1981-07-26,,,,
NEW-0134,2022-11-28,Refferal,2023-11-28,Basic,Annual,,,6.99,530,29,0,Tanya Agarwal,India,Rajasthan,Female,1983-11-05,,,,
NEW-0135,2024-08-26,Paid,2026-08-26,Premium,Annual,,,26.99,2124,26,0,Aryan Chauhan,India,Rajasthan,Male,2008-04-16,,,,
NEW-0136,2023-12-27,Paid,2024-01-26,Basic,Monthly,,,6.99,421,8,0,Isha Yadav,India,Rajasthan,Male,1979-12-01,,,,
NEW-0137,2024-08-15,Refferal,2024-09-14,Basic,Monthly,,,8.99,377,33,0,Kriti Singh,India,Rajasthan,Female,1983-08-13,,,,
NEW-0138,2024-11-03,Organic,2025-11-04,Basic,Annual,,,6.99,423,22,0,Naina Mishra,India,Maharashtra,Female,1978-02-17,,,,
NEW-0139,2023-08-25,Organic,2023-09-25,Basic,Monthly,2023-12-13,Not enough content,6.99,277,80,1,Naina Patel,India,Haryana,Male,1986-08-27,2026-04-20,N,100.0,1.0
NEW-0140,2024-10-27,Paid,2024-11-27,Basic,Monthly,2025-04-22,Too expensive,8.99,220,88,1,Harsh Sharma,India,Gujarat,Female,1990-08-24,,,,
NEW-0141,2023-10-12,Organic,2023-11-09,Standard,Monthly,,,16.99,895,39,0,Tushar Malhotra,India,Haryana,Female,2007-01-23,,,,
NEW-0142,2022-12-04,Refferal,2024-12-03,Standard,Annual,,,16.99,1228,27,0,Kavya Mehta,India,Tamil Nadu,Female,1982-05-17,2025-09-29,Y,100.0,1.0
NEW-0143,2020-06-09,Paid,2021-06-09,Basic,Annual,2021-11-29,Switched to competitor,6.99,536,79,1,Neha Patel,India,Rajasthan,Male,1977-08-25,,,,
NEW-0144,2025-06-12,Organic,2025-07-12,Standard,Monthly,2025-12-12,Switched to competitor,13.99,628,73,1,Varun Nair,India,Gujarat,Male,2007-04-08,,,,
NEW-0145,2022-04-09,Refferal,2022-05-09,Basic,Monthly,,,8.99,452,6,0,Sneha Chauhan,India,Uttar Pradesh,Female,1985-03-15,,,,
